"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Lista usuário comum com sucesso","0"
"0","Jornada de Usuário Administrador","0","Jornada de Gerenciamento de Produtos","8","0","Administração de produtos","0"
"0","","0","","13","0","","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Novo usuário deve conseguir realizar login com sucesso","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Realizar login de usuário comum com sucesso","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Criar novo usuário comum com sucesso","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Concluir compra com sucesso","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Carrinho não deve existir","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Adicionar produto ao carrinho com sucesso","0"
"0","Jornada de compra do usuário com sucesso","0","Jornada de compra de sucesso","1","0","Buscar produto pelo ID com sucesso","0"
