"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verificar se a listagem do usuário comum foi realizada com sucesso","116","deveListarUsuarioComumComSucesso()","","Sat May 17 13:25:57 UTC 2025","passed","Sat May 17 13:25:57 UTC 2025","","testsJornadas.UsuarioComprador","testsJornadas.UsuarioComprador","deveListarUsuarioComumComSucesso"
"Verifica se um novo usuário admin realiza login com sucesso","127","deveRealizarLoginUsuario()","","Sat May 17 13:25:54 UTC 2025","passed","Sat May 17 13:25:54 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","deveRealizarLoginUsuario"
"","154","listarParametrosDeProdutosIncorretos()","","Sat May 17 13:25:53 UTC 2025","passed","Sat May 17 13:25:54 UTC 2025","","testsAlternativos.ProdutosTest","testsAlternativos.ProdutosTest","listarParametrosDeProdutosIncorretos"
"","130","loginSemSenha()","","Sat May 17 13:25:52 UTC 2025","passed","Sat May 17 13:25:53 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","loginSemSenha"
"Verifica se um novo produto é listado com sucesso","164","oProdutoDeveSerlistado()","","Sat May 17 13:25:55 UTC 2025","passed","Sat May 17 13:25:55 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","oProdutoDeveSerlistado"
"Verifica se o produto comprado saiu do estoque","115","deveRetirarProdutoDoEstoque()","","Sat May 17 13:25:58 UTC 2025","passed","Sat May 17 13:25:58 UTC 2025","","testsJornadas.UsuarioComprador","testsJornadas.UsuarioComprador","deveRetirarProdutoDoEstoque"
"","1531","loginComEmailNulo()","","Sat May 17 13:25:51 UTC 2025","passed","Sat May 17 13:25:52 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","loginComEmailNulo"
"Verifica se um novo usuário admin cria produto com sucesso","128","deveCriarProduto()","","Sat May 17 13:25:54 UTC 2025","passed","Sat May 17 13:25:55 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","deveCriarProduto"
"","113","cadastrarUsuarioComEmailExistente()","","Sat May 17 13:25:53 UTC 2025","passed","Sat May 17 13:25:53 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","cadastrarUsuarioComEmailExistente"
"","122","cadastrarUsuarioNomeVazio()","","Sat May 17 13:25:52 UTC 2025","passed","Sat May 17 13:25:52 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","cadastrarUsuarioNomeVazio"
"Verifica se um produto é listado com sucesso","138","deveBuscarOProdutoAposAlteracao()","","Sat May 17 13:25:55 UTC 2025","passed","Sat May 17 13:25:55 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","deveBuscarOProdutoAposAlteracao"
"Verificar se o login do usuário comum foi realizado com sucesso","115","deveRealizarLoginUsuarioComumComSucesso()","","Sat May 17 13:25:57 UTC 2025","passed","Sat May 17 13:25:57 UTC 2025","","testsJornadas.UsuarioComprador","testsJornadas.UsuarioComprador","deveRealizarLoginUsuarioComumComSucesso"
"Verificar se a criação do novo usuário comum foi realizada com sucesso","134","deveCriarUsuarioComumComSucesso()","","Sat May 17 13:25:57 UTC 2025","passed","Sat May 17 13:25:57 UTC 2025","","testsJornadas.UsuarioComprador","testsJornadas.UsuarioComprador","deveCriarUsuarioComumComSucesso"
"Verifica se um novo usuário admin é criado com sucesso","139","deveCriarUsuarioAdminComSucesso()","","Sat May 17 13:25:54 UTC 2025","passed","Sat May 17 13:25:54 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","deveCriarUsuarioAdminComSucesso"
"","132","loginComEmailInvalido()","","Sat May 17 13:25:52 UTC 2025","passed","Sat May 17 13:25:52 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","loginComEmailInvalido"
"","129","loginUsuarioNaoCadastrado()","","Sat May 17 13:25:53 UTC 2025","passed","Sat May 17 13:25:53 UTC 2025","","testsAlternativos.UsuarioTest","testsAlternativos.UsuarioTest","loginUsuarioNaoCadastrado"
"Verificar se a compra foi concluída com sucesso","105","deveConcluirCompraComSucesso()","","Sat May 17 13:25:57 UTC 2025","passed","Sat May 17 13:25:58 UTC 2025","","testsJornadas.UsuarioComprador","testsJornadas.UsuarioComprador","deveConcluirCompraComSucesso"
"Verifica se um produto é atualizado com sucesso","119","deveSerEditadoOProduto()","","Sat May 17 13:25:55 UTC 2025","passed","Sat May 17 13:25:55 UTC 2025","","testsJornadas.AdministracaoProdutos","testsJornadas.AdministracaoProdutos","deveSerEditadoOProduto"
